Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.220703,-0.299072,4.3125,-0.21519,-0.203501,4.40173,-0.211328,0.129042,4.38199,-0.212237,0.433221,4.46214,-0.254395,-0.30835,4.30469,-0.204858,-0.252966,4.38999,-0.079914,0.140343,4.53438,-0.0715014,0.433678,4.46222,-0.0715014,0.433678,4.46222,
-0.142992,0.43688,4.49749,-0.222581,-0.28401,4.21861,-0.215594,-0.195413,4.32764,-0.209096,0.136845,4.36555,-0.21596,0.424413,4.44333,-0.187488,-0.290921,4.19474,-0.190931,-0.24068,4.31692,-0.0800797,0.138165,4.53268,-0.0800797,0.138165,4.53268,
-0.0751449,0.426195,4.4438,-0.146713,0.428705,4.47902,-0.222191,-0.275988,4.16925,-0.225047,-0.196494,4.28281,-0.210761,0.135427,4.35536,-0.219732,0.414767,4.42579,-0.218088,-0.274645,4.14319,-0.221226,-0.221809,4.26857,-0.221226,-0.221809,4.26857,
-0.0857855,0.132492,4.52426,-0.078951,0.415209,4.42543,-0.150542,0.41833,4.46115,-0.22061,-0.27915,4.11087,-0.22443,-0.203276,4.24181,-0.216749,0.125526,4.32783,-0.231592,0.411761,4.40317,-0.225023,-0.296488,4.09663,-0.225023,-0.296488,4.09663,
-0.215352,-0.238113,4.23859,-0.0866018,0.112142,4.50593,-0.0917945,0.411256,4.39815,-0.162997,0.414843,4.43619,-0.221541,-0.294649,4.09808,-0.226077,-0.222519,4.23336,-0.220873,0.105631,4.30241,-0.233863,0.407528,4.37345,-0.233863,0.407528,4.37345,
-0.213172,-0.279567,4.09676,-0.217611,-0.225614,4.22456,-0.0882748,0.10858,4.5026,-0.0932695,0.409587,4.37601,-0.164876,0.411953,4.41033,-0.222086,-0.296912,4.09636,-0.23132,-0.221085,4.22861,-0.223475,0.107373,4.2845,-0.223475,0.107373,4.2845,
-0.238276,0.405317,4.35672,-0.22084,-0.300616,4.08428,-0.221918,-0.246386,4.21183,-0.0931542,0.0881388,4.47635,-0.098543,0.406747,4.3513,-0.169795,0.409357,4.38954,-0.223994,-0.306936,4.09072,-0.232326,-0.232762,4.20719,-0.232326,-0.232762,4.20719,
-0.224454,0.0946887,4.26181,-0.244911,0.399191,4.31174,-0.218942,-0.320638,4.06726,-0.221916,-0.267957,4.19287,-0.100835,0.0882172,4.44339,-0.10421,0.400367,4.30933,-0.176004,0.403023,4.34564,-0.223898,-0.335792,4.07406,-0.223898,-0.335792,4.07406,
-0.23724,-0.280088,4.18592,-0.235964,0.0475754,4.22168,-0.246502,0.390871,4.29042,-0.222182,-0.323539,4.06372,-0.22382,-0.27163,4.18782,-0.103629,0.0704835,4.4288,-0.105751,0.395787,4.29595,-0.17759,0.396707,4.32864,-0.17759,0.396707,4.32864,
-0.221946,-0.337637,4.08876,-0.238224,-0.277043,4.18539,-0.239037,0.0501826,4.21573,-0.249419,0.399038,4.25172,-0.224094,-0.328421,4.0501,-0.225755,-0.276639,4.17502,-0.110481,0.121585,4.34276,-0.10999,0.399783,4.24781,-0.10999,0.399783,4.24781,
-0.18118,0.402865,4.28493,-0.226858,-0.339852,4.08775,-0.248378,-0.255964,4.1863,-0.246729,0.0693599,4.20037,-0.246216,0.398137,4.23522,-0.226614,-0.334863,4.0471,-0.227521,-0.282856,4.17238,-0.116355,0.118745,4.30527,-0.116355,0.118745,4.30527,
-0.108273,0.395743,4.23378,-0.178747,0.400257,4.26974,-0.228526,-0.33781,4.08923,-0.250067,-0.257852,4.1854,-0.241746,0.0645475,4.19806,-0.252525,0.394887,4.19461,-0.223802,-0.334862,4.04532,-0.227188,-0.282717,4.17067,-0.227188,-0.282717,4.17067,
-0.123711,0.116492,4.249,-0.114142,0.392697,4.20404,-0.184905,0.397073,4.23461,-0.22805,-0.322384,4.10591,-0.24547,-0.247821,4.18296,-0.236635,0.0716172,4.18812,-0.255472,0.395199,4.17885,-0.21747,-0.313036,4.05455,-0.21747,-0.313036,4.05455,
-0.222709,-0.261665,4.17888,-0.126752,0.110584,4.19825,-0.118914,0.394493,4.1762,-0.188743,0.398082,4.21307,-0.227161,-0.326117,4.10403,-0.245114,-0.254796,4.18294,-0.231397,0.0594851,4.17535,-0.255304,0.392,4.15044,-0.255304,0.392,4.15044,
-0.232841,-0.345198,4.10272,-0.228407,-0.268335,4.17362,-0.124289,0.0449575,4.18657,-0.11798,0.39157,4.16182,-0.188126,0.394977,4.19182,-0.229745,-0.32862,4.10589,-0.243713,-0.257738,4.18383,-0.231811,0.0497134,4.14829,-0.231811,0.0497134,4.14829,
-0.258787,0.391522,4.1237,-0.22894,-0.348974,4.11372,-0.226966,-0.269408,4.17389,-0.121036,0.0410758,4.1319,-0.12199,0.392481,4.1296,-0.192037,0.395288,4.16163,-0.234697,-0.331846,4.09252,-0.245724,-0.256549,4.17908,-0.245724,-0.256549,4.17908,
-0.237072,0.0483885,4.14146,-0.262667,0.383506,4.09417,-0.229666,-0.355723,4.1106,-0.226323,-0.277516,4.17279,-0.120065,0.0685822,4.08506,-0.1253,0.390023,4.10769,-0.195624,0.390307,4.13645,-0.225211,-0.330926,4.11388,-0.225211,-0.330926,4.11388,
-0.24529,-0.256042,4.17848,-0.240124,0.0456883,4.1345,-0.263763,0.384217,4.08537,-0.229035,-0.355055,4.10765,-0.225423,-0.277916,4.17081,-0.120713,0.0602506,4.05914,-0.126613,0.389463,4.09554,-0.196868,0.390344,4.1258,-0.196868,0.390344,4.1258,
-0.226727,-0.305802,4.04581,-0.233904,-0.257589,4.16446,-0.248899,0.0429933,4.12232,-0.267469,0.384006,4.05973,-0.10321,-0.322266,4.14063,-0.11157,-0.249479,4.21419,-0.123554,0.0573349,4.02296,-0.129647,0.385317,4.06592,-0.129647,0.385317,4.06592,
-0.200302,0.388111,4.09812,-0.22081,-0.314473,4.03944,-0.229769,-0.265996,4.15841,-0.254783,0.0380145,4.11386,-0.268999,0.384995,4.03658,-0.120776,-0.346207,4.07967,-0.117868,-0.265157,4.12434,-0.132327,0.0532396,4.00548,-0.132327,0.0532396,4.00548,
-0.130672,0.386109,4.04648,-0.201578,0.388952,4.07682,-0.224105,-0.348849,4.0821,-0.224147,-0.276476,4.15298,-0.258924,0.0271414,4.10355,-0.269433,0.384885,4.02048,-0.11676,-0.360107,3.9668,-0.110256,-0.277764,4.03841,-0.110256,-0.277764,4.03841,
-0.140147,0.0393545,3.98147,-0.130905,0.382472,4.03086,-0.20192,0.387063,4.06103,-0.227885,-0.348278,4.08536,-0.228016,-0.266412,4.15002,-0.264555,0.0252276,4.09866,-0.270562,0.378301,3.99802,-0.107371,-0.325606,3.8351,-0.107371,-0.325606,3.8351,
