Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.114502,-0.443016,4.48432,-0.119532,-0.572117,4.54824,-0.15123,-0.261506,4.48015,-0.152642,0.015384,4.48896,0.0483164,-0.446027,4.46504,0.0739794,-0.57422,4.52157,-0.0194433,-0.269646,4.48407,-0.0194433,-0.269646,4.48407,
-0.00595947,0.0148248,4.47729,-0.149047,-0.45084,4.46059,-0.167927,-0.581023,4.51003,-0.14572,-0.274613,4.42817,-0.149229,0.0143242,4.47561,0.00220409,-0.455126,4.46209,-0.0136667,-0.583756,4.52268,-0.0136667,-0.583756,4.52268,
0.0155563,-0.273406,4.45673,-0.00394302,0.0139587,4.47307,-0.164041,-0.459401,4.42712,-0.178847,-0.589153,4.48427,-0.147494,-0.285804,4.39441,-0.146371,0.0190823,4.45704,0.0106985,-0.466713,4.47195,0.0106985,-0.466713,4.47195,
0.00311714,-0.593507,4.54342,0.00433861,-0.285481,4.46304,-0.00047745,0.0160017,4.45327,-0.158649,-0.477703,4.33434,-0.177902,-0.608647,4.35826,-0.145825,-0.288798,4.36455,-0.141487,0.0218805,4.44667,-0.141487,0.0218805,4.44667,
-0.00263221,-0.469321,4.46016,-0.0170666,-0.593294,4.53784,0.0161315,-0.29039,4.44801,0.0052252,0.0191003,4.43917,-0.154354,-0.45057,4.34476,-0.169357,-0.582239,4.38066,-0.147376,-0.267394,4.33119,-0.147376,-0.267394,4.33119,
-0.141531,0.0263725,4.4273,0.0204721,-0.44583,4.48299,0.0256386,-0.555558,4.58937,-0.00053725,-0.276552,4.44457,0.00461598,0.0241409,4.41935,-0.149212,-0.459048,4.26587,-0.158882,-0.591039,4.29073,-0.158882,-0.591039,4.29073,
-0.147449,-0.269468,4.30264,-0.141199,0.0275588,4.41449,0.00363241,-0.444057,4.45827,-0.0060177,-0.561511,4.55134,0.0119035,-0.277332,4.41451,0.00467254,0.0246731,4.40677,-0.151102,-0.459882,4.2444,-0.151102,-0.459882,4.2444,
-0.167233,-0.590073,4.2966,-0.144163,-0.27082,4.283,-0.140481,0.0288703,4.40057,-0.00303874,-0.449436,4.44834,-0.00738478,-0.56726,4.54077,0.0114655,-0.277691,4.41616,0.00520916,0.0254815,4.39284,0.00520916,0.0254815,4.39284,
-0.156554,-0.452523,4.24542,-0.158885,-0.579018,4.24223,-0.142926,-0.259008,4.26593,-0.140479,0.031921,4.38435,-0.00483947,-0.431925,4.46254,-0.0121434,-0.537045,4.57397,0.00845739,-0.273844,4.40518,0.00845739,-0.273844,4.40518,
0.00499301,0.028719,4.37192,-0.153547,-0.439947,4.20536,-0.158997,-0.571719,4.23677,-0.141996,-0.251914,4.24614,-0.14289,0.029432,4.37411,-0.013874,-0.443237,4.43939,-0.0293442,-0.557662,4.53527,-0.0293442,-0.557662,4.53527,
0.00865972,-0.273905,4.40472,0.00260465,0.0278572,4.36254,-0.145236,-0.445349,4.17863,-0.145294,-0.57599,4.1952,-0.1429,-0.257276,4.23584,-0.138086,0.0230129,4.3483,-0.0243336,-0.449736,4.41199,-0.0243336,-0.449736,4.41199,
-0.0461646,-0.570906,4.49141,0.00899587,-0.273427,4.39995,0.00728889,0.0291202,4.3406,-0.152126,-0.440965,4.15939,-0.175921,-0.569485,4.17628,-0.146452,-0.25239,4.21591,-0.143712,0.0199782,4.34156,-0.143712,0.0199782,4.34156,
-0.0190071,-0.454235,4.40967,-0.0397791,-0.575959,4.48776,0.00673545,-0.2791,4.39152,0.00109173,0.0249627,4.33311,-0.153122,-0.441452,4.12189,-0.171905,-0.571452,4.16368,-0.145654,-0.254525,4.20134,-0.145654,-0.254525,4.20134,
-0.14778,0.0141424,4.32561,-0.012162,-0.458998,4.35534,-0.0306354,-0.58833,4.40231,0.00650124,-0.274856,4.36868,-0.00529662,0.0193505,4.31558,-0.166172,-0.440915,4.10826,-0.203563,-0.566991,4.14035,-0.203563,-0.566991,4.14035,
-0.144437,-0.257133,4.19619,-0.150913,0.0117539,4.30716,-0.00617169,-0.45018,4.37985,-0.0178375,-0.57317,4.45644,0.00596874,-0.275405,4.35857,-0.00883305,0.0168459,4.29686,-0.153213,-0.446368,4.09812,-0.153213,-0.446368,4.09812,
-0.186437,-0.572868,4.11967,-0.144725,-0.26121,4.17979,-0.1494,0.00507867,4.28694,-0.0122202,-0.456791,4.35126,-0.0325739,-0.581702,4.41795,0.00697018,-0.276387,4.35031,-0.00615417,0.00894245,4.2778,-0.00615417,0.00894245,4.2778,
-0.136735,-0.444856,4.07406,-0.138199,-0.57388,4.08531,-0.144916,-0.2615,4.15519,-0.152095,0.000939528,4.26558,-0.0152183,-0.451563,4.35352,-0.034775,-0.571195,4.43528,0.00707778,-0.278979,4.33036,0.00707778,-0.278979,4.33036,
-0.00854312,0.00335748,4.25649,-0.129064,-0.448196,4.0476,-0.124729,-0.575025,4.04996,-0.139667,-0.267705,4.13928,-0.152438,-0.00423084,4.23287,0.00284515,-0.451831,4.33896,0.000630092,-0.575625,4.41343,0.000630092,-0.575625,4.41343,
0.00352738,-0.278339,4.3152,-0.008003,-0.00120492,4.23022,-0.129366,-0.447995,4.01946,-0.125239,-0.572019,4.01262,-0.119891,-0.271237,4.12429,-0.154161,-0.0102838,4.20955,-7.25675e-05,-0.442309,4.33488,-7.25675e-05,-0.442309,4.33488,
0.00129028,-0.556568,4.43022,-0.000591626,-0.276264,4.29478,-0.00818727,-0.00588494,4.2063,-0.13861,-0.456959,4.02686,-0.152042,-0.585491,4.03987,-0.15633,-0.269414,4.07516,-0.154758,-0.0128278,4.17897,-0.154758,-0.0128278,4.17897,
-0.00979905,-0.443163,4.31687,-0.0199419,-0.557258,4.41154,-0.00303279,-0.280879,4.27029,-0.00816821,-0.00945469,4.17515,-0.115168,-0.466507,4.02829,-0.157021,-0.588259,4.03866,-0.153476,-0.272378,4.07305,-0.153476,-0.272378,4.07305,
-0.157165,-0.0138466,4.1604,-0.0152529,-0.446543,4.29878,-0.0290337,-0.56275,4.38859,-0.000956937,-0.279146,4.26334,-0.0117227,-0.0101002,4.15131,-0.130716,-0.461587,4.01538,-0.143021,-0.591204,4.06064,-0.143021,-0.591204,4.06064,
-0.159291,-0.276054,4.04891,-0.156435,-0.0171536,4.12159,-0.0232732,-0.446467,4.25661,-0.0407118,-0.563087,4.34438,0.00362346,-0.275305,4.23327,-0.0101949,-0.0116022,4.1178,-0.161535,-0.465572,3.9889,-0.161535,-0.465572,3.9889,
-0.217021,-0.583954,4.02944,-0.150792,-0.274677,4.03359,-0.160866,-0.0171114,4.10597,-0.0225911,-0.435977,4.24464,-0.0158675,-0.521404,4.37401,-0.00753545,-0.28408,4.17802,-0.0149992,-0.0116226,4.09654,-0.0149992,-0.0116226,4.09654,
-0.160626,-0.46139,3.9722,-0.189459,-0.585436,4.03531,-0.157297,-0.272009,4.01799,-0.165118,-0.0139379,4.07196,-0.0374118,-0.461935,4.15944,-0.00991919,-0.564327,4.26706,-0.00786287,-0.280052,4.14086,-0.00786287,-0.280052,4.14086,
-0.0176953,-0.0103896,4.06873,-0.136186,-0.451275,4.00632,-0.159816,-0.578863,4.05548,-0.166131,-0.274272,3.98211,-0.173588,-0.0136915,4.04582,-0.0255824,-0.41543,4.11279,0.0485463,-0.479787,4.2285,0.0485463,-0.479787,4.2285,
