Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z ,Gait Type
-0.191666,-0.587808,4.44715,-0.141682,-0.675406,4.46326,-0.203157,-0.349782,4.43857,-0.240206,-0.00227735,4.45074,-0.0629462,-0.566293,4.45313,-0.0508609,-0.66781,4.50737,-0.0801311,-0.346187,4.43771,-0.0801311,-0.346187,4.43771,Normal
-0.0967092,0.00164683,4.43914,-0.13237,-0.526561,4.40915,-0.113453,-0.643697,4.46314,-0.23814,-0.339378,4.42559,-0.231684,0.00747402,4.42513,-0.0284184,-0.541537,4.38155,-0.0379911,-0.661635,4.42162,-0.0379911,-0.661635,4.42162,Normal
-0.0562218,-0.337421,4.36356,-0.0889431,0.0104106,4.41846,-0.158455,-0.521508,4.40994,-0.151832,-0.642664,4.47492,-0.23522,-0.328817,4.42579,-0.237698,0.0116164,4.39806,-0.0591126,-0.533334,4.32625,-0.0591126,-0.533334,4.32625,Normal
-0.0216602,-0.652654,4.36022,-0.0548374,-0.327985,4.3212,-0.0939194,0.0158043,4.3952,-0.15427,-0.51468,4.39835,-0.15512,-0.628969,4.48838,-0.234416,-0.322763,4.4097,-0.236648,0.0160507,4.3805,-0.236648,0.0160507,4.3805,Normal
-0.0503664,-0.518385,4.25003,-0.0266809,-0.643696,4.2851,-0.0493846,-0.317699,4.25809,-0.0934495,0.0177043,4.37207,-0.162609,-0.502053,4.37532,-0.144134,-0.625355,4.44101,-0.237373,-0.313774,4.40551,-0.237373,-0.313774,4.40551,Normal
-0.238796,0.016773,4.3466,-0.0472647,-0.508114,4.19498,-0.02565,-0.635083,4.22278,-0.0502098,-0.307765,4.21886,-0.0961735,0.0239335,4.34462,-0.165399,-0.491847,4.37791,-0.14635,-0.614525,4.44845,-0.14635,-0.614525,4.44845,Normal
-0.241733,-0.309943,4.38431,-0.238426,0.0205815,4.32702,-0.0176563,-0.485243,4.17255,0.0355901,-0.603055,4.21369,-0.0925515,-0.304169,4.18103,-0.0961309,0.0237595,4.32787,-0.162627,-0.470243,4.35459,-0.162627,-0.470243,4.35459,Normal
-0.139015,-0.593168,4.42325,-0.242642,-0.291396,4.3597,-0.242766,0.019399,4.29004,0.0430042,-0.430436,4.16419,0.148021,-0.499295,4.22692,-0.10001,-0.298624,4.16179,-0.100412,0.0177291,4.29557,-0.100412,0.0177291,4.29557,Normal
-0.175843,-0.459888,4.35705,-0.151648,-0.580516,4.43288,-0.241358,-0.282426,4.34484,-0.245045,0.0142956,4.27168,-0.0861501,-0.481922,4.05489,-0.0963153,-0.611643,4.07475,-0.0845847,-0.288075,4.13293,-0.0845847,-0.288075,4.13293,Normal
-0.103274,0.0139063,4.2706,-0.192841,-0.459958,4.36099,-0.181582,-0.576585,4.45582,-0.234732,-0.288085,4.32542,-0.244359,0.00749999,4.24371,-0.0557753,-0.533364,3.96551,-0.10923,-0.606995,4.03873,-0.10923,-0.606995,4.03873,Normal
