Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z 
-0.0179993,-0.383071,4.48061,-0.0705244,-0.49961,4.53096,0.00796862,-0.196796,4.50213,-0.165998,0.0511545,4.51152,-0.00628501,-0.373919,4.48408,-0.0493297,-0.493853,4.53706,-0.000286354,-0.187058,4.49432,-0.000286354,-0.187058,4.49432,
-0.027133,0.0475714,4.51939,0.00369982,-0.329848,4.47224,0.105156,-0.416945,4.50366,-0.146268,-0.223251,4.53609,-0.164368,0.0505695,4.50653,0.022086,-0.36807,4.47206,0.0789936,-0.49014,4.50627,0.0789936,-0.49014,4.50627,
-0.0962298,-0.225158,4.52643,-0.025096,0.0429127,4.51077,0.011676,-0.358379,4.47808,0.114734,-0.419916,4.5045,-0.152419,-0.244699,4.53308,-0.160446,0.0474774,4.49759,0.00596102,-0.444359,4.49776,0.00596102,-0.444359,4.49776,
0.00786649,-0.562347,4.56239,0.00103402,-0.26455,4.4599,-0.0205709,0.036416,4.49739,-0.166359,-0.458078,4.50837,-0.17774,-0.580162,4.56699,-0.174454,-0.270405,4.49652,-0.157432,0.0364209,4.4847,-0.157432,0.0364209,4.4847,
0.0104356,-0.463928,4.5014,0.0128369,-0.584503,4.56803,0.00222879,-0.283821,4.46973,-0.0172894,0.0259284,4.48137,-0.157192,-0.462162,4.49207,-0.15519,-0.584509,4.55712,-0.182774,-0.280556,4.47201,-0.182774,-0.280556,4.47201,
-0.151642,0.0316147,4.47115,0.00329955,-0.46769,4.50914,-0.0115379,-0.576042,4.60524,0.010106,-0.291264,4.47289,-0.0122106,0.0215806,4.47101,-0.168558,-0.460053,4.48253,-0.173627,-0.583526,4.54655,-0.173627,-0.583526,4.54655,
-0.181373,-0.286649,4.43958,-0.146712,0.0304276,4.46023,0.0137544,-0.470741,4.5061,0.00840831,-0.582484,4.59969,0.00919424,-0.292963,4.47585,-0.00642138,0.0206081,4.45642,-0.178001,-0.467641,4.44842,-0.178001,-0.467641,4.44842,
-0.186918,-0.591111,4.51472,-0.17592,-0.289945,4.41942,-0.141802,0.0299717,4.44702,0.014828,-0.469861,4.50726,0.00975782,-0.582794,4.6001,0.00871219,-0.29403,4.47478,-0.00198796,0.0196187,4.44327,-0.00198796,0.0196187,4.44327,
-0.189484,-0.479668,4.3885,-0.213464,-0.606177,4.42559,-0.172003,-0.292356,4.39117,-0.140694,0.0297907,4.43616,0.011762,-0.47372,4.49816,0.00557728,-0.590853,4.58361,0.00842628,-0.295693,4.47281,0.00842628,-0.295693,4.47281,
-0.00126597,0.0183458,4.4356,-0.186379,-0.474001,4.38525,-0.212032,-0.59976,4.43267,-0.168414,-0.292139,4.36968,-0.140028,0.0309938,4.42802,0.0105028,-0.473397,4.49573,0.00192154,-0.591561,4.57928,0.00192154,-0.591561,4.57928,
0.005514,-0.297834,4.46577,-0.000980664,0.0173244,4.42798,-0.187615,-0.478839,4.33106,-0.208566,-0.605426,4.38137,-0.163655,-0.292425,4.34748,-0.14274,0.0317924,4.4128,0.00647219,-0.469467,4.487,0.00647219,-0.469467,4.487,
-0.00618632,-0.5892,4.56644,0.0124429,-0.299024,4.4467,-0.00365138,0.0192133,4.41931,-0.189108,-0.467771,4.32225,-0.21352,-0.594309,4.36802,-0.159216,-0.283638,4.33106,-0.141431,0.0311064,4.40622,-0.141431,0.0311064,4.40622,
0.0140237,-0.44536,4.50497,0.0186732,-0.550097,4.61268,0.00146768,-0.286965,4.44584,-0.00113082,0.0200506,4.40707,-0.18538,-0.465064,4.2891,-0.214488,-0.591385,4.32232,-0.158835,-0.277584,4.31628,-0.158835,-0.277584,4.31628,
-0.141453,0.0298509,4.39364,0.013554,-0.444192,4.49294,0.017553,-0.553377,4.59458,0.00151412,-0.279855,4.44381,-0.00134745,0.018719,4.40078,-0.18252,-0.45854,4.27158,-0.215085,-0.584118,4.3095,-0.215085,-0.584118,4.3095,
-0.158385,-0.270987,4.29654,-0.138802,0.0297014,4.37957,0.0175134,-0.44537,4.47391,0.0201232,-0.557193,4.57172,0.00159588,-0.272593,4.44126,0.000576674,0.0180222,4.39176,-0.170485,-0.454681,4.24662,-0.170485,-0.454681,4.24662,
-0.197038,-0.581978,4.27796,-0.156593,-0.264922,4.28149,-0.13847,0.0298955,4.37161,0.00379038,-0.451471,4.45088,-0.00656257,-0.571855,4.53128,0.00340875,-0.271348,4.43537,0.000186284,0.0163641,4.37998,0.000186284,0.0163641,4.37998,
-0.169793,-0.448253,4.24098,-0.194574,-0.575297,4.28954,-0.155825,-0.260358,4.26064,-0.137873,0.0291221,4.35653,-0.000313183,-0.446965,4.45863,-0.0149691,-0.563451,4.54729,0.00444409,-0.272365,4.42884,0.00444409,-0.272365,4.42884,
0.00095993,0.0140612,4.36934,-0.17202,-0.446398,4.20327,-0.199793,-0.573403,4.24875,-0.154047,-0.256636,4.25026,-0.13911,0.0288335,4.34844,-0.0155381,-0.45667,4.42431,-0.0257142,-0.58001,4.49817,-0.0257142,-0.58001,4.49817,
0.00556208,-0.272465,4.42746,0.000338423,0.0130207,4.36415,-0.17128,-0.440024,4.18645,-0.19481,-0.568245,4.21345,-0.153251,-0.250615,4.22949,-0.140984,0.0287723,4.34026,-0.0114665,-0.454226,4.43174,-0.0114665,-0.454226,4.43174,
-0.0210253,-0.575048,4.51292,0.00548211,-0.273507,4.42109,-0.001887,0.00931101,4.35452,-0.172908,-0.437036,4.18697,-0.194313,-0.565433,4.23232,-0.162179,-0.248603,4.20949,-0.137288,0.0269573,4.32242,-0.137288,0.0269573,4.32242,
-0.0199952,-0.461282,4.39056,-0.0413435,-0.589009,4.44019,0.00789395,-0.274968,4.41329,0.00063731,0.00913267,4.33935,-0.183146,-0.437593,4.1597,-0.219408,-0.562343,4.20964,-0.159789,-0.248215,4.20089,-0.159789,-0.248215,4.20089,
-0.137341,0.0275664,4.30535,-0.0364535,-0.462065,4.37678,-0.0750085,-0.586618,4.4163,0.0100976,-0.278477,4.40757,0.0014877,0.00920917,4.33114,-0.183747,-0.437604,4.12255,-0.21354,-0.564585,4.14531,-0.21354,-0.564585,4.14531,
-0.156551,-0.24981,4.17659,-0.131624,0.0264176,4.28928,0.00375543,-0.425041,4.41403,0.00103744,-0.538928,4.51056,-0.000230075,-0.264279,4.35869,0.00728728,0.0104498,4.3177,-0.178485,-0.442954,4.11526,-0.178485,-0.442954,4.11526,
-0.202512,-0.571434,4.14042,-0.159006,-0.254246,4.16685,-0.134909,0.0264128,4.27214,0.00427798,-0.430944,4.39974,0.00340375,-0.546529,4.49349,-0.000125528,-0.262942,4.35743,0.00405612,0.0104864,4.30448,0.00405612,0.0104864,4.30448,
-0.178078,-0.438961,4.10713,-0.206335,-0.566676,4.14999,-0.156385,-0.250901,4.14074,-0.1382,0.026869,4.26619,-0.00193966,-0.441641,4.37125,-0.00404095,-0.563212,4.45243,0.000573035,-0.262339,4.35532,0.000573035,-0.262339,4.35532,
-0.00126769,0.0105544,4.29466,-0.173425,-0.447044,4.08135,-0.207246,-0.573665,4.10867,-0.155973,-0.2576,4.13317,-0.140402,0.0241378,4.25291,0.000589917,-0.431242,4.3812,0.00118214,-0.545865,4.47695,0.00118214,-0.545865,4.47695,
-0.00125869,-0.261877,4.34169,-0.00273607,0.00770158,4.26757,-0.173688,-0.449031,4.07396,-0.206883,-0.576183,4.10834,-0.1547,-0.259825,4.11971,-0.148767,0.0227708,4.22882,0.00862498,-0.426881,4.40441,0.00862498,-0.426881,4.40441,
0.0183865,-0.523045,4.52494,-0.00311375,-0.27566,4.33554,-0.00665204,0.00655317,4.25701,-0.177891,-0.457489,4.0385,-0.214532,-0.5833,4.08452,-0.153295,-0.268703,4.10348,-0.150478,0.0176246,4.2047,-0.150478,0.0176246,4.2047,
0.00696717,-0.420547,4.37307,0.0156247,-0.524466,4.48466,-0.00337386,-0.269678,4.30437,-0.00911876,0.00112813,4.23472,-0.172787,-0.460962,4.04044,-0.210583,-0.587134,4.07395,-0.154366,-0.271327,4.08679,-0.154366,-0.271327,4.08679,
-0.148463,0.011985,4.19016,0.00684919,-0.437574,4.36495,0.012405,-0.5448,4.47276,0.00024138,-0.278146,4.30818,-0.00873643,-0.00435961,4.21891,-0.169296,-0.471225,4.0326,-0.205948,-0.597728,4.07433,-0.205948,-0.597728,4.07433,
-0.156177,-0.280739,4.07888,-0.148601,0.0069035,4.17053,0.0120895,-0.426472,4.35674,0.0255664,-0.531421,4.46678,-0.00573813,-0.273406,4.29174,-0.00938747,-0.00717541,4.19331,-0.166573,-0.482248,4.02295,-0.166573,-0.482248,4.02295,
-0.204994,-0.607891,4.07147,-0.153737,-0.291411,4.06332,-0.149476,-0.000846218,4.14966,-0.0599116,-0.459245,4.24865,-0.12541,-0.571381,4.26469,-0.00132402,-0.274961,4.27701,-0.0100307,-0.0110871,4.1804,-0.0100307,-0.0110871,4.1804,
-0.162162,-0.487009,4.01391,-0.193807,-0.615405,4.05172,-0.1527,-0.296914,4.05207,-0.149926,-0.00402568,4.13386,0.0174288,-0.432745,4.30208,0.0242998,-0.547987,4.39784,-0.0207892,-0.286862,4.22928,-0.0207892,-0.286862,4.22928,
-0.0127951,-0.0145542,4.15559,-0.155026,-0.486366,4.01947,-0.178765,-0.615977,4.06504,-0.174664,-0.29721,4.03667,-0.151709,-0.00240868,4.10686,0.0178656,-0.427711,4.26647,0.0134422,-0.541126,4.36567,0.0134422,-0.541126,4.36567,
-0.014009,-0.289356,4.18119,-0.0134585,-0.00689482,4.12979,-0.154866,-0.487904,4.02038,-0.176634,-0.617467,4.07033,-0.175101,-0.299993,4.03209,-0.151925,-0.00244111,4.08401,0.00889179,-0.4529,4.18795,0.00889179,-0.4529,4.18795,
0.0340147,-0.571992,4.27148,-0.030042,-0.297928,4.12921,-0.0133207,-0.00522143,4.11279,-0.153306,-0.49121,4.02362,-0.170304,-0.62051,4.08042,-0.177536,-0.304873,4.03161,-0.154889,-0.00593667,4.06019,-0.154889,-0.00593667,4.06019,
-0.0179466,-0.480365,4.12961,-0.04209,-0.609996,4.17059,-0.0398601,-0.302405,4.08953,-0.0162011,-0.00580013,4.09115,-0.180919,-0.496688,4.01215,-0.15991,-0.623037,4.07798,-0.179804,-0.309136,4.02307,-0.179804,-0.309136,4.02307,
-0.158581,-0.00930624,4.04395,-0.00680288,-0.490325,4.07462,-0.039405,-0.617853,4.12052,-0.0132607,-0.308367,4.04961,-0.020993,-0.00766622,4.07215,-0.153883,-0.493865,4.01573,-0.156413,-0.623354,4.07727,-0.156413,-0.623354,4.07727,
-0.179603,-0.311176,4.01578,-0.164537,-0.0105215,4.02687,0.00366433,-0.489491,4.04158,-0.0268256,-0.616709,4.09501,-0.00577134,-0.310226,4.0125,-0.0290453,-0.00855888,4.04837,-0.151019,-0.495476,4.01201,-0.151019,-0.495476,4.01201,
-0.152313,-0.625194,4.07256,-0.180376,-0.312933,4.01349,-0.169449,-0.0128952,4.01051,-0.0248133,-0.477545,4.01536,-0.0440975,-0.602726,4.08709,0.0108669,-0.312509,3.97294,-0.0326757,-0.0128475,4.03388,-0.0326757,-0.0128475,4.03388,
-0.153136,-0.49443,4.01112,-0.150464,-0.623521,4.07393,-0.183299,-0.313473,4.00765,-0.169451,-0.0142743,4.0002,0.096821,-0.46244,3.98721,0.184755,-0.542583,4.07641,-0.0337197,-0.337197,3.97225,-0.0337197,-0.337197,3.97225,
-0.0331326,-0.0135321,4.02207,-0.152651,-0.492839,4.01036,-0.149472,-0.620896,4.07708,-0.182799,-0.313183,4.00238,-0.171881,-0.0152768,3.98265,0.0770756,-0.422522,3.86907,0.182931,-0.485519,3.86094,0.182931,-0.485519,3.86094,
-0.0725888,-0.315549,3.97046,-0.035852,-0.0135335,4.00692,-0.154281,-0.491989,4.00851,-0.151987,-0.619133,4.07842,-0.180846,-0.313027,3.99685,-0.1727,-0.0159687,3.96929,0.0724371,-0.416596,3.8371,0.0724371,-0.416596,3.8371,
0.177618,-0.480572,3.8289,-0.0728178,-0.315362,3.95759,-0.0373263,-0.0124761,3.99118,-0.159707,-0.498265,3.98023,-0.150905,-0.622276,4.05859,-0.182901,-0.313116,3.98858,-0.170451,-0.0184682,3.94931,-0.170451,-0.0184682,3.94931,
0.0989649,-0.435143,3.82736,0.211142,-0.499307,3.84215,-0.050521,-0.318558,3.90553,-0.0354841,-0.0142461,3.97173,-0.163422,-0.493966,3.98978,-0.162118,-0.615903,4.07406,-0.175163,-0.314102,3.97667,-0.175163,-0.314102,3.97667,
-0.160508,-0.0219076,3.92733,0.0855676,-0.428287,3.7936,0.195916,-0.48994,3.79592,-0.059659,-0.318556,3.90284,-0.0260574,-0.0140852,3.95135,-0.159852,-0.491724,3.9865,-0.167919,-0.608872,4.08024,-0.167919,-0.608872,4.08024,
