Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
0.0651501,-1.71338,4.05659,0.0920755,-1.65933,4.1754,0.0491093,-1.29592,4.21173,0.0402536,-0.794166,4.28641,0.202661,-1.68601,4.0019,0.222341,-1.61721,4.10901,0.214295,-1.26181,4.07493,0.20107,-0.785378,4.26289,0.121723,-0.796743,4.31238,0.107202,-0.490457,4.37962,0.0926071,-0.18769,4.43326,0.0955257,-0.0384454,4.46963,-0.0859285,-0.322943,4.41536,0.268318,-0.303434,4.38013,0.153642,0.626194,0.78217,0.162764
0.0683999,-1.70447,4.0704,0.0909732,-1.65533,4.17138,0.049097,-1.29514,4.20396,0.0364075,-0.792252,4.2727,0.230713,-1.65137,3.90234,0.220407,-1.59087,4.02297,0.20765,-1.24614,4.02601,0.196638,-0.783685,4.24495,0.117551,-0.794921,4.29655,0.10367,-0.490088,4.36407,0.0896737,-0.18873,4.41787,0.0957169,-0.0353765,4.45802,-0.0886487,-0.321847,4.40002,0.271136,-0.302975,4.36028,0.158637,0.623017,0.784571,0.162843
0.0695162,-1.70894,4.06678,0.0907731,-1.6519,4.17022,0.0495884,-1.29011,4.19489,0.0292461,-0.78671,4.24598,0.222534,-1.63086,3.80273,0.215388,-1.58222,3.9329,0.206106,-1.26237,3.99977,0.192035,-0.77879,4.22859,0.111681,-0.789629,4.2751,0.101406,-0.48761,4.34095,0.091148,-0.189142,4.39231,0.0971694,-0.0295656,4.41952,-0.0960661,-0.31974,4.37345,0.26897,-0.299099,4.33522,0.161992,0.61833,0.778968,0.163906
0.0729054,-1.70012,4.06362,0.0903952,-1.64731,4.16641,0.0494163,-1.28313,4.17931,0.0264169,-0.776999,4.21747,0.224937,-1.61599,3.68223,0.218742,-1.5844,3.83882,0.203957,-1.27884,3.94721,0.189604,-0.771119,4.1974,0.108956,-0.780832,4.24461,0.101738,-0.482457,4.3078,0.0945406,-0.187737,4.35735,0.0983603,-0.0264325,4.38589,-0.0945356,-0.313232,4.34562,0.268122,-0.299768,4.30678,0.163856,0.609455,0.773573,0.164523
0.0687941,-1.69693,4.06661,0.0909641,-1.64622,4.16512,0.0494502,-1.27704,4.16765,0.0267212,-0.782111,4.18886,0.213867,-1.58398,3.63086,0.205719,-1.55509,3.7803,0.201302,-1.27344,3.92919,0.190119,-0.781133,4.16249,0.109378,-0.788451,4.21317,0.0995174,-0.48211,4.27777,0.0894461,-0.179415,4.32696,0.0970402,-0.0246216,4.36677,-0.0926398,-0.30452,4.32305,0.268326,-0.298979,4.27387,0.160012,0.621488,0.789115,0.165515
0.0677499,-1.69957,4.06645,0.0915637,-1.64275,4.16361,0.0475363,-1.27164,4.15614,0.0285625,-0.784449,4.17259,0.208984,-1.56934,3.57813,0.202056,-1.5376,3.71784,0.201396,-1.26368,3.89199,0.191238,-0.781148,4.14948,0.11087,-0.7897,4.19848,0.101307,-0.48127,4.25973,0.091505,-0.176229,4.30741,0.100192,-0.0211749,4.32647,-0.091835,-0.302927,4.3137,0.268382,-0.292254,4.24869,0.156462,0.626156,0.785603,0.164341
0.0693317,-1.69873,4.06903,0.0906855,-1.64044,4.16152,0.0457028,-1.27286,4.14528,0.0208706,-0.772852,4.1359,0.203857,-1.56836,3.51172,0.202203,-1.52595,3.65912,0.198855,-1.27276,3.84817,0.185264,-0.766895,4.11754,0.10402,-0.776789,4.16411,0.0950975,-0.475185,4.22136,0.0858865,-0.177527,4.26351,0.0994657,-0.0202437,4.31471,-0.0954807,-0.307715,4.25458,0.269699,-0.291903,4.23143,0.165961,0.61231,0.776997,0.165523
0.0712378,-1.69559,4.07014,0.0900156,-1.63605,4.16084,0.0467751,-1.27033,4.12946,0.0200167,-0.767279,4.11553,0.194484,-1.5256,3.4949,0.204047,-1.51898,3.65419,0.199247,-1.24332,3.83167,0.183976,-0.760352,4.08429,0.102933,-0.770702,4.13752,0.0967888,-0.470477,4.1978,0.0899327,-0.173935,4.24448,0.0986146,-0.01804,4.2796,-0.0938822,-0.302667,4.24562,0.273869,-0.28592,4.19943,0.160038,0.611206,0.772307,0.167052
0.064619,-1.69863,4.07031,0.0851377,-1.63495,4.15101,0.046446,-1.27621,4.11319,0.0242116,-0.784314,4.07342,0.193925,-1.52941,3.47979,0.203087,-1.51457,3.63297,0.197459,-1.2373,3.8066,0.187698,-0.77351,4.05511,0.106964,-0.78611,4.10157,0.103147,-0.475842,4.15901,0.0996442,-0.168843,4.20023,0.100883,-0.0163015,4.25351,-0.0928639,-0.299165,4.20354,0.272044,-0.280442,4.15569,0.161586,0.632909,0.787569,0.164863
0.0649123,-1.69083,4.06169,0.0823763,-1.631,4.14865,0.0464369,-1.26415,4.08109,0.0198797,-0.774496,4.05092,0.180109,-1.56082,3.43413,0.186952,-1.53308,3.58475,0.193839,-1.23711,3.78422,0.184684,-0.75483,4.02561,0.103153,-0.772033,4.07569,0.104717,-0.468187,4.13855,0.104574,-0.166415,4.18626,0.10269,-0.0070411,4.22445,-0.085938,-0.287156,4.17626,0.276617,-0.281592,4.13207,0.163896,0.628692,0.778104,0.167891
