Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,SholdD,LSHD,RSHD,hipD 
1.56745,-1.01619,2.63128,1.59316,-1.02911,2.76062,1.46544,-0.838525,2.55711,1.51158,-0.638369,2.69506,1.54255,-1.00799,2.41644,1.66083,-1.0438,2.44398,1.52953,-0.87797,2.54295,1.61892,-0.623219,2.64497,1.57974,-0.636635,2.69474,1.58439,-0.346241,2.79194,1.58438,-0.0598229,2.87943,1.62096,0.0159055,2.86626,1.46014,-0.249585,2.80149,1.69643,-0.21626,2.71785,0.0851255,0.611561,0.676354,0.11942
1.56465,-1.02109,2.68471,1.58522,-1.03059,2.80802,1.44655,-0.841844,2.6026,1.50547,-0.647616,2.73054,1.54688,-1.00488,2.49414,1.59809,-1.0702,2.55903,1.52634,-0.850598,2.60613,1.61393,-0.639469,2.68228,1.57328,-0.649035,2.72986,1.58268,-0.36373,2.80303,1.58694,-0.0884974,2.87728,1.61297,-0.0156425,2.94167,1.47239,-0.240636,2.8231,1.68451,-0.222077,2.76167,0.100653,0.583767,0.675607,0.118992
1.54297,-1.01953,2.57813,1.5985,-1.06636,2.65392,1.46629,-0.878786,2.66203,1.53795,-0.652441,2.78284,1.54592,-1.02977,2.57026,1.58997,-1.1126,2.6376,1.52733,-0.891518,2.66369,1.64034,-0.656238,2.73484,1.60221,-0.659719,2.78152,1.60566,-0.364635,2.86143,1.60478,-0.0730287,2.93253,1.6155,-0.000736133,2.93751,1.47381,-0.24304,2.8804,1.71763,-0.252135,2.80276,0.0732531,0.602156,0.686566,0.113149
1.53418,-1.04004,2.66602,1.60725,-1.09765,2.72864,1.48083,-0.894524,2.72259,1.5429,-0.616032,2.85129,1.57784,-1.03069,2.67832,1.6763,-1.0192,2.72702,1.48535,-0.875219,2.73277,1.64934,-0.617085,2.8052,1.60985,-0.621862,2.85257,1.61335,-0.356121,2.90146,1.61015,-0.0822346,2.94408,1.63556,-0.00701823,3.01338,1.4764,-0.245539,2.91647,1.72749,-0.248593,2.8536,0.105383,0.54596,0.644758,0.115994
1.53334,-1.07046,2.74985,1.55302,-1.17296,2.80858,1.49823,-0.934791,2.79894,1.50807,-0.681148,2.86629,1.61102,-1.05771,2.79413,1.70196,-1.08083,2.87826,1.49736,-0.909183,2.78138,1.61742,-0.681643,2.81823,1.5762,-0.687262,2.86674,1.60063,-0.387316,2.92756,1.61668,-0.0947769,2.9784,1.64212,-0.0229915,3.05361,1.47803,-0.245986,2.94344,1.72823,-0.247541,2.88791,0.10704,0.606791,0.699882,0.119449
1.50828,-1.0686,2.808,1.53982,-1.16731,2.88646,1.50994,-0.923956,2.84776,1.5277,-0.711349,2.89922,1.6308,-1.074,2.85894,1.74211,-1.09983,2.92122,1.56118,-0.952409,2.84784,1.63887,-0.718985,2.85371,1.59702,-0.721575,2.90139,1.60667,-0.399514,2.97804,1.61164,-0.0813618,3.0451,1.64541,-0.000428821,3.0766,1.48803,-0.238463,2.97359,1.74122,-0.252399,2.92961,0.0931784,0.652081,0.752357,0.120361
1.51019,-1.09024,2.88738,1.50382,-1.1942,2.9554,1.51434,-0.94713,2.91993,1.53171,-0.736992,2.92792,1.68066,-1.10449,2.89063,1.66869,-1.21445,2.90205,1.73695,-0.973583,2.94295,1.64436,-0.739737,2.89362,1.60135,-0.744361,2.9346,1.6126,-0.399549,3.02423,1.61914,-0.0564746,3.10369,1.65939,0.0216983,3.12002,1.47186,-0.250377,3.01694,1.74947,-0.251483,2.97616,0.0894288,0.708268,0.794522,0.117796
1.49322,-1.11487,2.95872,1.47709,-1.20643,3.04263,1.5154,-0.966493,2.9836,1.52636,-0.763204,2.96823,1.6826,-1.11174,2.90028,1.65747,-1.2135,2.91685,1.74221,-0.976449,2.9535,1.64088,-0.76312,2.93591,1.59674,-0.769859,2.9772,1.60892,-0.410386,3.05603,1.61615,-0.0588633,3.12865,1.66012,0.0129178,3.12953,1.47599,-0.250631,3.03822,1.75172,-0.250766,3.00575,0.0841839,0.727937,0.800059,0.11899
1.49287,-1.11522,2.96861,1.52409,-1.19859,3.04129,1.49191,-0.950989,3.0245,1.52766,-0.757809,2.98268,1.68299,-1.12379,2.89892,1.68962,-1.23314,2.88904,1.69526,-0.999101,2.9899,1.6434,-0.754727,2.95781,1.59853,-0.762818,2.99455,1.61118,-0.411745,3.07634,1.61921,-0.0669167,3.15012,1.65326,0.0143576,3.20341,1.47676,-0.251308,3.07067,1.74561,-0.246516,3.03858,0.102979,0.716762,0.807409,0.118422
1.50289,-1.17265,3.02096,1.51979,-1.2085,3.11507,1.50776,-0.963069,3.07669,1.53091,-0.707694,3.03029,1.68403,-1.12699,2.90649,1.68701,-1.23353,2.89721,1.69343,-0.997912,2.99066,1.63988,-0.720297,3.01188,1.59826,-0.719788,3.04559,1.61497,-0.391623,3.12998,1.6272,-0.0673259,3.20494,1.64985,0.00966202,3.20802,1.47994,-0.255191,3.10446,1.73018,-0.22393,3.08092,0.0803118,0.670705,0.755918,0.111232
